,SalePrice,OverallQual,GrLivArea,GarageCars,TotalBsmtSF,FullBath,YearBuilt
0,12.247694320220994,7,7.444248649496705,2,6.752270376141742,2,2003
1,12.109010932687042,6,7.140453043101158,2,7.140453043101158,2,1976
2,12.31716669303576,7,7.487733761436444,2,6.824373670043086,2,2001
3,11.84939770159144,7,7.448333860897476,3,6.628041376179533,1,1915
4,12.429216196844383,8,7.6953031349635665,3,7.0431599159883405,2,2000
5,11.870599909242044,5,7.216709486709457,2,6.679599185844383,1,1993
6,12.634603026569334,8,7.434847875211999,2,7.430114138561801,2,2004
7,12.206072645530174,7,7.644919344958857,2,7.009408932708637,2,1973
8,11.77452020265869,7,7.480992162869525,2,6.858565034791365,2,1931
9,11.678439903447801,5,6.981934677156389,1,6.898714534329988,1,1939
10,11.771436160121729,5,6.946975992135418,1,6.946975992135418,1,1965
11,12.751299696013497,9,7.751045117971802,3,7.069023426578259,3,2005
12,11.877568578558138,5,6.815639990074331,1,6.815639990074331,1,1962
13,12.540757571577291,7,7.309212365692763,3,7.309212365692763,2,2006
14,11.964001084330445,6,7.133295954896068,1,7.133295954896068,1,1960
15,11.790557201568507,7,6.74993119378857,2,6.723832440821209,1,1929
16,11.911701584927597,6,6.911747300251674,2,6.911747300251674,1,1970
17,11.407564949312402,4,7.16703787691222,2,0.0,2,1967
18,11.976659481202368,5,7.01571242048723,2,7.01571242048723,1,2004
19,11.842229212112828,5,7.199678345691172,1,6.9363427358340495,1,1958
20,12.692503112461443,8,7.773173680482536,3,7.05444965813294,3,2005
21,11.845102777308561,7,7.010311867307229,1,6.456769655572163,1,1930
22,12.345834587905333,8,7.492760300922379,2,7.482681828154651,2,2002
23,11.77452020265869,5,6.966024187106113,2,6.946975992135418,1,1976
24,11.944707881395766,5,6.966024187106113,1,6.966024187106113,1,1968
25,12.454103912352162,8,7.3777589082278725,3,7.356279876550748,2,2007
26,11.811547477460344,5,6.802394763324311,2,6.802394763324311,1,1951
27,12.631340380934517,8,7.440733707389261,3,7.440733707389261,2,2007
28,12.24288661865289,5,7.3777589082278725,1,7.302496423727326,1,1957
29,11.134589024250317,4,6.253828811575473,1,6.253828811575473,1,1927
30,10.596634733096073,4,7.183111701743281,1,6.47543271670409,1,1920
31,11.914047823644255,5,7.113142108707088,1,7.113142108707088,1,1966
32,12.100156419938624,8,7.1180162044653335,2,7.1180162044653335,2,2007
33,12.016726473799254,5,7.438383530044307,2,7.242797922793756,1,1959
34,12.533576212168626,9,7.353081920515432,2,7.353081920515432,2,2005
35,12.641096555879882,8,7.804659297056102,3,7.018401799069201,3,2004
36,11.884489021402711,5,7.00033446027523,2,7.00033446027523,1,1994
37,11.938193200374572,5,7.167809184316444,2,7.167809184316444,1,1954
38,11.59910316121128,5,6.963189985870238,1,6.963189985870238,1,1953
39,11.314474526246391,4,7.049254841255837,0,0.0,2,1955
40,11.982929094215963,6,7.188412736496954,2,6.992096427415888,2,1965
41,12.043553716032399,5,7.191429330036379,1,7.2078598714324755,1,1959
42,11.877568578558138,5,6.784457062637643,2,6.733401891837359,1,1983
43,11.777210959615614,5,6.843749949006225,1,6.843749949006225,1,1975
